word,translation,toeic_target,sentence,trans_s
acquire,v. 獲得、取得；習得（技能、知識等）,中級,1. She acquired a lot of experience during her internship. 2. He acquired the company last year.,1. 她在實習期間累積了豐富的經驗。 2. 他去年收購了這家公司。
rely,v. 依賴、依靠,初級,You can rely on me.,你可以信賴我。
physical,adj. 身體的；物理的；實體的,中級,1. Regular exercise improves physical health. 2. We need to consider the physical environment of the building. 3. He prefers physical books to e-books.,1. 定期運動有益身體健康。 2. 我們需要考慮建築物的物理環境。 3. 他喜歡紙本書而不是電子書。
certain,adj. 確定的；某些的；特定的,中級,1. I am certain that he will come. 2. Certain people are more sensitive to noise. 3. There is a certain risk involved in this project.,1. 我確信他會來。 2. 有些人對噪音比較敏感。 3. 這個項目存在一定的風險。
desired,adj. 渴望的、期望的；想要的,初級,The training helped him reach his desired results.,訓練幫助他達到了預期目標。
amount,n. 數量、金額 v. 總計為...,中級,1. The amount of sugar in this drink is too high. 2. The total cost amounts to $500.,1. 這款飲料含糖量太高了。 2. 總成本為500美元。
conscience,n. 良心、道德心,中級,His conscience would not allow him to lie.,他的良心不允許他說謊。
mineral,n. 礦物 adj. 礦物的,中級,1. The human body needs essential minerals like calcium and iron. 2. Mineral water is often sold in bottles.,1. 人體需要鈣、鐵等必需礦物質。 2. 礦泉水通常以瓶裝形式販售。
robbery,n. 搶劫、強盜行為,中級,The bank robbery happened in broad daylight.,銀行搶劫案發生在光天化日之下。
fine,adj. 很好的 n. 罰款,初級,1. The weather is fine today. 2. He had to pay a fine for speeding.,1. 今天天氣晴朗。 2. 他因為超速被罰款了。
entertaining,adj. 有趣的、娛樂性的、令人愉快的,中級,1. The movie was very entertaining from start to finish. 2. He is an entertaining speaker who keeps everyone interested.,1. 這部電影從頭到尾都非常精彩。 2. 他是一位風趣幽默的演講者，能讓大家保持興趣。
incredibly,adv. 非常地、難以置信地,中級,The test was incredibly difficult.,考試難度非常大。
acquired,adj. 獲得的、習得的；已取得的,中級,Language skills are often acquired through practice.,語言技能通常是透過練習獲得的。
refine,v. 精煉、改善、使更精確,中級,1. Oil must be refined before it can be used as fuel. 2. She refined her presentation before the meeting.,1. 石油必須經過提煉才能當作燃料。 2. 她在會前修改了她的演講稿。
repetition,n. 重複、反覆,中級,Learning a language requires a lot of repetition.,學習語言需要大量的重複練習。
synesthesia,n. 聯覺、通感（感官混合的現象）,高級,People with synesthesia may see colors when they hear music.,患有聯覺的人在聽到音樂時可能會看到顏色。
palm,n. 手掌；棕櫚樹,初級,1. She held the coin in the palm of her hand. 2. Palm trees grow well in tropical areas.,1. 她把硬幣握在手掌裡。 2. 棕櫚樹在熱帶地區生長良好。
prowess,n. 高超技巧、卓越能力（尤指戰鬥、運動或專業能力）,中級,The athlete is known for his physical prowess.,這位運動員以其出色的體能而聞名。
practically,adv. 幾乎、實際上；實用地,中級,1. The project is practically finished. 2. She thinks practically when solving problems.,1. 這個項目其實已經完成了。 2. 她在解決問題時思維務實。
particularly,adv. 特別地、尤其,中級,I particularly enjoy science fiction movies.,我特別喜歡科幻電影。
partially,adv. 部分地、不完全地,中級,The road was partially blocked by the fallen tree.,道路部分被倒下的樹木阻擋。
perspective,n. 觀點、看法；透視（視角）,中級,"1. From my perspective, the plan is not practical. 2. The artist used perspective to create depth in the painting.",1. 在我看來，這個計劃並不實際。 2. 這位藝術家運用透視法在畫作中創造了深度。
vision,n. 視力；視野；想像力；遠見,初級,1. She has very good vision without glasses. 2. The tall building blocked my vision of the sea. 3. The leader has a clear vision for the future.,1. 她不戴眼鏡視力也很好。 2. 高樓擋住了我看海的視線。 3. 這位領導者對未來有著清晰的願景。
bring out,phr. v. 使顯現；推出；引出；發表,中級,1. The lighting brings out the beauty of the painting. 2. The company will bring out a new phone next month. 3. His speech brought out strong emotions in the audience.,1. 燈光襯托出這幅畫的美。 2. 該公司下個月將推出一款新手機。 3. 他的演講引起了聽眾的強烈共鳴。
outline,n. 大綱；輪廓 v. 勾勒,初級,1. The teacher asked us to write an outline before the essay. 2. I could see the outline of the mountains in the fog. 3. He outlined his plan during the meeting.,1. 老師要求我們在寫作文之前先列個提綱。 2. 我在霧中能看到山的輪廓。 3. 他在會議上概述了他的計劃。
object,n. 物體；對象；目標 v. 反對,初級,1. There was a strange object in the sky. 2. The object of the game is to score the most points. 3. I object to his decision.,1. 天空中出現了一個奇怪的物體。 2. 這場比賽的目標是獲得最高分。 3. 我反對他的決定。
phenomenon,n. 現象；奇事；傑出人物,高級,1. The northern lights are a natural phenomenon. 2. She is a musical phenomenon at a young age.,1. 北極光是一種自然現象。 2. 她年紀輕輕就展現出音樂天份。
quite,adv. 相當、頗；完全地,初級,1. The movie was quite interesting. 2. I am quite sure about the answer.,1. 這部電影很有意思。 2. 我對答案很有把握。
enough,adv.足夠的 adj. 足夠地 pron. 充足,初級,1. We have enough time to finish the work. 2. She is tall enough to reach the shelf. 3. Enough is enough.,1. 我們有足夠的時間完成這項工作。 2. 她個子夠高，能夠到架子上。 3. 夠了。
race,n./v. 比賽；競速,初級,1. He won the race easily. 2. They raced to the finish line.,1. 他輕鬆贏得了比賽。 2. 他們一路狂奔到終點。
seriously,adv. 認真地；嚴肅地；非常地,中級,1. You need to take this matter seriously. 2. It is seriously cold today.,1. 你需要認真對待這件事。 2. 今天非常冷。
pace,n. 步調；速度 v. 步伐；來回踱步,初級,1. The runner kept a steady pace throughout the race. 2. He paced back and forth while waiting for the results.,1. 這位跑者在整場比賽中都保持著穩定的速度。 2. 他在等待比賽結果時來回踱步。
go up ,phr. v. 上升、增加、漲價,初級,1. The balloon has gone up into the sky. 2. Prices have gone up this year. 3. The number of students has gone up.,1. 氣球升空了。 2. 今年的價格上漲了。 3. 學生人數增加了。
copper,n. 銅；銅幣,初級,Copper is widely used in electrical wires.,銅廣泛用於電線。
scarecrow,n. 稻草人 ,中級,The farmer placed a scarecrow in the field to protect the crops.,農夫在田裡放置了一個稻草人來保護農作物。
imitate,v. 模仿、仿效,中級,He often imitates his teacher’s voice.,他常模仿老師的聲音。
movement,n. 移動；運動；動作；（社會）運動,中級,1. The movement of the robot is very smooth. 2. The movement of the train was slow at first. 3. The environmental movement has grown worldwide.,1. 機器人的運動非常平穩。 2. 火車起初行駛緩慢。 3. 環保運動已在全球發展壯大。
exactly,adv. 確切地；精確地；完全正確；正是如此,中級,1. This is exactly what I needed. 2. The timing was exactly right. 3. “So you think we should leave?” — “Exactly.”,1. 這正是我需要的。 2. 時機剛剛好。 3. “所以你覺得我們應該走了？”——“正是如此。”
tied,adj. 綁住的；打成平手的；被束縛的,初級,1. The two teams tied in the final game. 2. He is tied to his job and cannot travel.,1. 兩隊在決賽打成平手。 2. 他工作繁忙，無法出差。
tie,v. 綁住、繫上,初級,She tied her shoes before going out.,她出門前繫好了鞋帶。
breakthrough,n. 突破；重大進展；關鍵性發現,中級,Scientists made a major breakthrough in cancer treatment.,科學家在癌症治療方面取得了重大突破。
stab,v. 刺、戳 n. 一刺；突然劇痛；(比喻)嘗試,初級,1. He stabbed the meat with a fork. 2. She felt a sharp stab of pain in her chest. 3. He took a stab at answering the question.,1. 他用叉子戳了戳肉。 2. 她感到胸口一陣劇痛。 3. 他嘗試回答這個問題。
activate,v. 啟動、激活；使開始運作；使活化,初級,1. You need to activate the software before using it. 2. Heat can activate certain enzymes. ,1. 使用前需啟動軟體。 2. 熱能可以活化某些酵素。
sense,n. 感覺；意識；判斷力；理解 v. 感覺到,初級,1. He has a good sense of hearing. 2. She has no sense of danger. 3. I sensed that something was wrong. ,1. 他聽力很好。 2. 她沒有危險意識。 3. 我覺得有些不對勁。
make sence,phr. v. 有道理；合理；說得通,中級,1. Your explanation makes sense. 2. It doesn’t make sense to leave now.,1. 你的解釋很有道理。 2. 現在離開沒有意義。
sensor,n. 感測器、傳感器,中級,The phone has a fingerprint sensor for security.,手機配備指紋感應器，以確保安全。
aim,n. 目標；目的 v. 瞄準；致力於，以...為目標,初級,1. My aim is to improve my English. 2. He aimed the arrow at the target.,1. 我的目標是提高我的英語能力。 2. 他瞄準靶心射箭。
nonsense,n. 胡說八道；荒謬的事；無意義的話,中級,Don’t believe that nonsense on the internet.,不要相信網路上那些無稽之談。
stomach,n. 胃；肚子 v. 忍受,中級,1. My stomach hurts after eating too much. 2. I can’t stomach that kind of behavior.,1. 我吃太多後胃痛。 2. 我無法容忍那種行為。
descend,v. 下降；下來；遺傳自；突然降臨,中級,1. The airplane began to descend slowly. 2. She carefully descended the stairs. 3. He is descended from a royal family. 4. Silence descended over the room.,1. 飛機開始緩緩下降。 2. 她小心翼翼地走下樓梯。 3. 他出身於皇室家族。 4. 房間裡一片寂靜。
bulky,adj. 體積大的、笨重的、佔空間的,中級,He carried a bulky backpack during the trip.,旅途中他背著一個笨重的背包。
nine out of ten,phr. 十之八九；十分之九；大多數情況下,中級,"1. Nine out of ten students passed the exam. 2. Nine out of ten times, he arrives early.",1. 十個學生中有九個通過了考試。 2. 十次裡有九次他都會提早到達。
lean,v. 傾斜；倚靠 adj. 瘦的；精簡的,初級,1. He leaned against the wall and waited. 2. He has a lean body from regular exercise. 3. The company operates with a lean management style.,1. 他靠在牆上等待。 2. 他經常鍛煉，所以身材精瘦。 3. 這家公司採用​​精實管理模式營運。
crumble,v. 崩裂；瓦解；崩潰；弄碎 n. 碎屑,中級,1. The old wall began to crumble after the earthquake. 2. She crumbled the bread into small pieces. 3. Apple crumble is a popular dessert,1. 地震後，那堵老牆開始崩塌。 2. 她把麵包掰成小塊。 3. 蘋果酥是一種很受歡迎的甜點。
browse,v. 瀏覽、隨意查看、逛,初級,She was browsing the internet for travel information.,她正在上網尋找旅遊資訊。
end up,phr. v. 最終變成；結果是；到頭來,初級,"1. He studied engineering but ended up becoming a teacher. 2. If you don’t leave now, you may end up missing the train.",1. 他學的是工程學，結果卻當了老師。 2. 如果你現在不走，可能就趕不上火車了。
just,adv.剛剛；只是；正好 adj. 公平的,初級,1. I just finished my homework. 2. It’s just a joke. 3.This shirt is just right for you. 4. The judge made a just decision. ,1. 我剛做完作業。 2. 這只是個玩笑。 3. 這件襯衫很適合你。 4. 法官做出了公正的判決。
silly,adj. 愚蠢的、傻的；滑稽的、幼稚的,初級,1. That was a silly mistake. 2. We were being silly and laughing all night.,1. 那真是個愚蠢的錯誤。 2. 我們整晚都在胡鬧，笑個不停。
cramp,n. 抽筋、痙攣 v. 束縛、限制,中級,1. I got a cramp in my leg while swimming. 2. The small desk cramps my movement.,1. 我游泳時腿抽筋了。 2. 這張小桌子限制了我的行動。
space out,phr. v. 發呆、走神、恍神,中級,I was spacing out during the lecture.,上課的時候我一直在走神。
pervert,n. 變態的人 v. 使墮落；扭曲（原意）,中級,1. He was accused of being a pervert. 2. Power can pervert people’s judgment.,1. 他被指控為變態。 2. 權力會扭曲人們的判斷力。
ogle,v. (通常為不禮貌的) 注視；色瞇瞇地看,初級,I caught him ogling the woman in the red dress.,我看到他正盯著那個穿紅裙子的女人。
urge,v. 催促；力勸 n. 強烈慾望,初級,1. I urged him to see a doctor. 2. I had an urge to eat chocolate.,1. 我勸他去看醫生。 2. 我突然很想吃巧克力。
scold,v. 責罵、訓斥,初級,The teacher scolded the student for being late.,老師斥責了遲到的學生。
peckish,adj. (英式口語）有點餓、微餓,中級,I’m feeling a bit peckish.,我有點餓了。
step away,phr. v. 走開、離開；暫時抽身；退出,中級,1. He stepped away from the desk to answer the phone. 2. Please step away from the machine.,1. 他離開辦公桌去接電話。 2. 請遠離機器。
though,conj. 雖然、儘管 adv. 不過、然而,初級,"1. Though it was raining, we went out. 2. I like him. He is a bit strict, though.",1. 雖然下著雨，我們還是出去了。 2. 我喜歡他。不過他有點嚴厲。
disperse,v. 分散、散開（人群、物體)；驅散,中級,1. The seeds were dispersed by the wind. 2. The crowd was dispersed by the police. ,1. 種子隨風飄散。 2. 人群被警察驅散了。
hesitant,adj. 猶豫的、遲疑的、不確定的,中級,She was hesitant to speak in front of the class.,她猶豫著不敢在全班同學面前發言。
spot,n. 斑點；地點 v. 發現；看見,初級,1. There is a spot on your shirt. 2. This is a good spot to watch the sunset. 3. I spotted my friend in the crowd.,1. 你襯衫上有污漬。 2. 這是個觀賞日落的好地方。 3. 我在人群中看到了我的朋友。
thoughtful,adj. 體貼的；深思的；考慮周到的,中級,"1. It was thoughtful of him to bring me a drink. 2. She sat in a thoughtful mood, staring out the window.",1. 他拿了杯飲料，真體貼。 2. 她若有所思地坐著，望著窗外。
discreetly,adv. 謹慎地；小心地；低調地；不引人注意地,高級,He discreetly left the room during the meeting.,會議期間，他悄悄離開了房間。
fierce,adj. 凶猛的；激烈的；強烈的,中級,1. The tiger is a fierce predator. 2. There was fierce competition for the job.,1. 老虎是兇猛的掠食者。 2. 這份工作的競爭非常激烈。
dispute,n. 爭議、糾紛 v. 爭論、爭執,中級,"1. There is a dispute over land ownership. 2. I don’t dispute your point, but I have another opinion.",1. 存在土地所有權糾紛。 2. 我並不否認你的觀點，但我有不同的看法。
as part of,phr. 作為……的一部分；作為……的一環,初級,He joined the project as part of a team.,他作為團隊成員加入了該專案。
stake,n. 利害關係；賭注；樁 v. 支持（投資）,中級,1. He has a stake in the company. 2. The stake was very high in the game. 3. They drove a stake into the ground. 4. He staked all his money on the business.,1. 他在這家公司有股份。 2. 這場比賽的賭注非常高。 3. 他們把一根木樁釘在地上了。 4. 他把所有的錢都押在這項生意上了。
drastic,adj. 劇烈的、激烈的；極端的,中級,The company made drastic changes to its policy.,該公司對其政策進行了重大調整。
scale,n. 規模；比例；刻度；鱗片 v. 攀爬；擴大,初級,1. The project was expanded on a large scale. 2. The map is drawn to scale. 3. The fish has shiny scales. 4. They scaled the mountain last year.,1. 該項目規模擴大了。 2. 地圖是按比例繪製的。 3. 這條魚的鱗片閃閃發光。 4. 他們去年登上了那座山。
violence,n. 暴力；猛烈；激烈,中級,1. The government is trying to reduce violence in the city. 2. The storm hit with great violence.,1. 政府正努力減少該市的暴力事件。 2. 這場風暴帶來了巨大的破壞。
resort,n. 度假村 ；(不得已的）手段 v. 求助於,中級,1. We stayed at a beach resort during the holiday. 2. Violence should be a last resort. 3. He resorted to lying to avoid trouble.,1. 假期期間，我們住在海濱度假村。 2. 暴力應該是最後的手段。 3. 他為了避免麻煩而說謊。
flirt,v. 調情；輕浮地示好 n. 開玩笑式曖昧,中級,1. They were flirting at the party. 2. She accused him of flirting with other girls.,1. 他們在派對上調情。 2. 她指責他和其他女孩調情。
slightly,adv. 稍微地、輕微地；一點點,中級,The room is slightly cold.,房間有點冷。
enlighten,v. 啟發、使了解、使開悟,高級,Could you enlighten me about this topic?,您能就此話題給我講解一下嗎？
exhaustion,n. 疲憊、筋疲力盡；耗盡,高級,"1. After working 12 hours, he was close to exhaustion. 2. The exhaustion of resources is a serious problem.",1. 他工作了12個小時後，幾乎筋疲力盡。 2. 資源枯竭是一個嚴重的問題。
regret,v./n. 後悔；遺憾,中級,1. I regret not studying harder. 2. He expressed regret for what he said.,1. 我後悔沒有更努力學習。 2. 他對自己說過的話表示後悔。
affection,n. 喜愛；愛慕；感情,中級,1. She has deep affection for her family. 2. The child showed affection for the puppy.,1. 她對家人有著深厚的感情。 2. 孩子對小狗表現出了喜愛。
deserved,adj. 應得的；理所當然的,中級,He got a well-deserved rest after the trip.,旅行結束後，他好好休息了一番。
deserv,v. 理應、應該,中級,He deserved the award.,他當之無愧地獲得了這個獎項。
tumble,v. 跌倒；翻滾；突然下降；崩落 n. 跌倒；翻滾,中級,1. He tripped and tumbled down the stairs. 2. Stock prices tumbled after the news. 3. She took a tumble while skiing.,1. 他絆倒了，從樓梯上摔了下來。 2. 消息傳出後，股價暴跌。 3. 她滑雪時摔了一跤。
immersed,adj. 沉浸的；專心投入的；浸入的,高級,She was completely immersed in her work.,她完全沉浸在工作中。
immerse,v. 沉浸；浸泡,高級,The plant is immersed in water for testing.,將植物浸入水中進行測試。
befitting,adj. 相稱的；適當的,中級,She received a ceremony befitting a queen.,她接受了女王般的禮遇。
greasy,adj. 油膩的；油污的；(人) 狡猾的、油滑的,高級,1. The fries were too greasy. 2. He gave a greasy smile.,1. 薯條太油膩了。 2. 他露出了一個油膩的笑容。
bloated,adj. 腫脹的、臃腫的；膨脹的,中級,1. My stomach feels bloated after eating too much. 2. The company has a bloated structure.,1. 吃太多東西後，我覺得肚子脹脹的。 2. 這家公司結構臃腫。
contest,n. 比賽、競賽 v.爭奪；質疑,中級,1. She won the singing contest. 2. Several candidates are contesting the election. 3. He contested the results of the exam.,1. 她贏得了歌唱比賽。 2. 多位候選人正在競選。 3. 他對考試結果提出了質疑。
aside,adv. 在一旁；暫時離開主題 n. 旁白,中級,"1. He stepped aside to let her pass. 2. Putting jokes aside, this is a serious issue. 3. He spoke an aside during the play.",1. 他側身讓她過去。 2. 不開玩笑，這是個嚴肅的問題。 3. 他在演出期間插話。
tease,v. 戲弄、取笑 (開玩笑)；挑逗 (讓人期待) n. 愛開玩笑的人；戲弄行為,初級,1. They always tease him about his haircut. 2. The trailer teases the ending of the movie. 3. He’s just a friendly tease.,1. 他們總是拿他的髮型開玩笑。 2. 預告片透露了電影的結局。 3. 他只是個愛開玩笑的友善人士。
intention,n. 意圖、目的、打算,中級,1. His intention is to start his own business. 2. She had no intention of lying.,1. 他打算自己創業。 2. 她沒有說謊的意圖。
assumption,n. 假設；臆測；假定；擅自認定,中級,1. His argument is based on several assumptions. 2. You are making an assumption without evidence.,1. 他的論點基於幾個假設。 2. 你在沒有任何證據的情況下做出了假設。
tightly,adv. 緊緊地、牢固地；嚴密地,中級,1. She held the bag tightly. 2. The lid is tightly closed.,1. 她緊緊地抓著包包。 2. 蓋子蓋得很緊。
emphasize,v. 強調；著重；突顯,高級,The teacher emphasized the importance of practice.,老師強調了練習的重要性。
grateful,adj. 感激的；感謝的,中級,I am very grateful for your help.,非常感謝您的幫忙。
decline,v./n. 下降；衰退；拒絕,中級,1. Sales have declined this year. 2. His health is declining. 3. She declined the invitation. 4. There has been a decline in population.,1. 今年的銷售額下降了。 2. 他的健康狀況正在惡化。 3. 她拒絕了邀約。 4. 人口數有所下降。
plane,n. 飛機；平面；刨子 (工具),初級,1. The plane landed safely. 2. Two lines lie on the same plane. 3. He used a plane to smooth the wood.,1. 飛機安全降落。 2. 兩條線位於同一平面上。 3. 他用刨刀把木頭刨平。
just in case,phr. 以防萬一；萬一發生,中級,I brought an umbrella just in case it rains.,我帶了把傘，以防下雨。
apparently,adv. 顯然；據說；看起來；似乎,中級,"1. Apparently, he didn’t know about the meeting. 2. She is apparently very busy these days.",1. 顯然，他並不知道這次會面。 2. 她最近似乎非常忙。
mere,adj. 僅僅的、只不過的；微不足道的,初級,1. It was a mere coincidence. 2. The problem is a mere misunderstanding.,1. 這純屬巧合。 2. 問題只是一場誤會。
exclusive,adj. 獨家的；排他的；高級的；不包括其他人的,中級,1. This is an exclusive interview with the actor. 2. The club is very exclusive.,1. 這是對這位演員的獨家專訪。 2. 這傢俱樂部非常私密。
withstand,v. 承受；抵抗；經得起；頂住,中級,The bridge can withstand strong winds. ,這座橋能承受強風。
enthusiasm,n. 熱情、熱忱；積極性,高級,She shows great enthusiasm for learning English.,她對學習英語表現出極大的熱情。
reaffirm,v. 再次確認；重申；再次肯定,高級,1. The company reaffirmed its commitment to safety. 2. She reaffirmed her decision to study abroad.,1. 公司重申了對安全的承諾。 2. 她重申了出國留學的決定。
go ahead,phr. v. 進行吧；開始吧；請便；前進,初級,"1. “Can I start the project?” — “Go ahead.” 2. Go ahead and take a seat. 3. You go ahead, I’ll catch up later.",1.「我可以開始這個專案了嗎？」—「請便。」2. 請坐。 3.你先開始，我稍後跟上。
fuss,n. 大驚小怪、小題大作 v. 過度操心；忙亂,初級,1. There’s no need to make a fuss.2. She fussed about the details all day.,1. 沒必要大驚小怪。 2. 她整天都在糾結細節。
incident,n. 事件、事故；(尤指不愉快或意外的) 事件,中級,There was an incident at school yesterday.,昨天學校發生了一起事件。
investigation,n. 調查；研究；審查,高級,1. The police launched an investigation into the crime. 2. The investigation of the problem took several months.,1. 警方對這起犯罪事件展開了調查。 2. 對此問題的調查持續了數月時間。
unintentionally,adv. 無意地、非故意地、不小心地,中級,He unintentionally hurt her feelings.,他無意中傷害了她的感情。
endure,v. 忍受；持續；經得起,中級,1. She endured years of hardship. 2. The pain endured for several days. 3. The bridge has endured many storms.,1. 她忍受了多年的艱辛。 2. 疼痛持續了好幾天。 3. 這座橋經受住了許多風暴的考驗。
extent,n. 程度；範圍；大小,初級,1. To what extent do you agree? 2. The extent of the problem is still unclear.,1. 你在多大程度上同意？ 2. 問題的嚴重程度仍不清楚。
envision,v. 想像；設想；構想,中級,She is envisioning a better future for her children.,她正在為孩子們憧憬一個更美好的未來。
wary,adj. 謹慎的、警惕的、小心提防的,初級,Be wary of strangers online.,要警惕網路上的陌生人。
press conference,n. 記者會；新聞發布會,中級,The company held a press conference to announce the new product.,該公司召開記者會，宣布推出新產品。
cash register,n. 收銀機,中級,The cashier opened the cash register.,收銀員打開了收銀機。
catering company,n. 外燴公司；餐飲承包公司,中級,We hired a catering company for the wedding.,我們為婚禮聘請了一家餐飲公司。
maintenance team,n. 維修團隊；維護團隊,中級,The maintenance team fixed the machine quickly.,維修團隊很快就修好機器了。
workout plan,n. 健身計畫；運動訓練計畫,中級,My trainer made a workout plan for me.,我的教練為我制定了一套訓練計畫。
fabric,n. 布料,初級,She bought a piece of fabric to make a dress.,她買了一塊布料準備做裙子。
art gallery,n. 美術館；畫廊,中級,We visited an art gallery downtown.,我們參觀了市中心的美術館。
community fair,n. 社區園遊會；社區博覽會,中級,"The community fair had food, games, and live music.",社區市集上有美食、遊戲和現場音樂表演。
trade show,n. 商展；產業展覽會,中級,Many companies introduced new products at the trade show.,許多公司在展會上推出了新產品。
panel discussion,n. 座談會；專家小組討論,中級,The conference included a panel discussion on climate change.,會議期間舉行了關於氣候變遷的小組討論。
certificate,n. 證書；證照,中級,He received a course certificate after finishing the online class.,他完成線上課程後獲得了課程證書。
vender,n. 攤販；供應商；銷售商,中級,1. A street vendor sells snacks in the night market. 2. The company works with several software vendors.,1. 一位街頭小販在夜市賣小吃。 2. 該公司與多家軟體供應商合作。
assembly plant,n. 組裝工廠；裝配廠,中級,The cars are built in an assembly plant.,這些汽車是在組裝廠生產的。
break room,n. 休息室,初級,Employees can eat lunch in the employee break room.,員工可以在員工休息室吃午餐。
advertising campaign,n. 廣告活動；廣告宣傳計畫,中級,The company launched a new advertising campaign.,該公司推出了一項新的廣告宣傳活動。
incentive,n. 獎勵；激勵；誘因,中級,The company offers financial incentives for good performance.,公司會為業績優異的員工提供經濟獎勵。
travel receipts,n. 旅費收據；出差收據,中級,Please keep all your travel receipts for reimbursement.,請保留所有差旅收據以便報銷。
identification badges,n. 識別證；員工證；身份識別徽章,中級,All employees must wear identification badges at work.,所有員工上班時必須配戴工作證。
manufacturing,adj. 製造的、生產的,中級,a manufacturing plant,一家製造廠
demonstration,n. 示範；展示；示威（遊行）,中級,The teacher gave a demonstration of the experiment.,老師示範了實驗過程。
helmet,n. 頭盔；安全帽,初級,You must wear a helmet when riding a motorcycle.,騎摩托車時必須戴安全帽。
construct,v. 建造；構築；組成；建構,中級,1. They are constructing a new bridge. 2. The theory was constructed from years of research. 3. He constructed a clear argument.,1. 他們正在建造一座新橋。 2. 該理論是多年研究的成果。 3. 他建構了一個清晰的論點。
push a cart,phr. 推推車；推手推車,初級,She is pushing a cart in the supermarket.,她正在超市推著購物車。
cabinet,n. 櫥櫃；內閣；機櫃,中級,1. She put the dishes in the kitchen cabinet. 2. The president announced changes to the cabinet. 3. The server is stored in a cabinet.,1. 她把碗碟放進了櫃子裡。 2. 總統宣布了內閣改組。 3. 伺服器存放在櫃子裡。
process,n./v. 過程；流程；處理；加工,初級,1. Learning a language is a long process. 2. The system processes the data automatically. 3. The factory processes food for export.,1. 學習語言是一個漫長的過程。 2. 系統會自動處理資料。 3. 工廠加工食品用於出口。
launch,v./n. 發射；推出；啟動；開展,中級,1. The rocket was launched into space. 2. The company launched a new smartphone. 3. They launched a new project last month. 4. The product launch was successful.,1. 火箭發射升空。 2. 該公司發布了一款新智慧型手機。 3. 他們上個月啟動了一個新計畫。 4. 產品發表會很成功。
initiative,n. 主動性；倡議；新計畫；主動行動,高級,1. She showed great initiative at work. 2. The government launched a new initiative to reduce pollution. 3. He took the initiative to solve the problem.,1. 她在工作中展現了極強的積極性。 2. 政府啟動了一項減少污染的新措施。 3. 他主動承擔了解決問題的責任。
enclose,v. 隨函附上；包圍；圍住；圈起來,初級,1. I enclose a copy of my resume. 2. The garden is enclosed by a fence.,1. 我附上我的履歷。 2. 花園四周有圍欄。
inspection,n. 檢查；視察；審查,中級,1. The car passed inspection. 2. The manager made an inspection of the factory.,1. 這輛車通過了檢驗。 2. 經理對工廠進行了視察。
inventory,n. 庫存；存貨；清單；盤點,中級,1. The store keeps a large inventory of products. 2. We made an inventory of all the equipment. 3. The company conducts an annual inventory.,1. 這家商店備有大量的商品庫存。 2. 我們清點了所有設備。 3. 公司每年進行一次庫存盤點。
serve,v. 服務；提供；供應；服役；發球,初級,1. The waiter served the customers quickly. 2. They served dinner at 7 p.m. 3. He served in the army for five years. 4. She served the ball well.,1. 服務生很快就為顧客們上了菜。 2. 他們晚上7點開始供應晚餐。 3. 他在軍隊服役了五年。 4. 她把舞會辦得很好。
refreshment,n. 茶點；點心；提神；恢復精神,中級,1. Light refreshments were served after the meeting. 2. A short walk gave me some refreshment.,1. 會後提供了茶點。 2. 短暫的散步讓我精神煥發。
distribute,v. 分發；分配；散佈；配送,中級,1. The teacher distributed the worksheets to the students. 2. The species is widely distributed across Asia. 3. The company distributes products worldwide.,1. 老師把練習題分發給了學生。 2. 這種物種廣泛分佈於亞洲。 3. 該公司在全球銷售產品。
estimate,v./n. 估計；估算；預估,中級,1. We estimate the cost at $500. 2. The repair estimate is too high.,1. 我們估計費用為 500 美元。 2. 維修估價太高了。
application,n. 應用；申請；申請書；應用程式,中級,1. I submitted my job application yesterday. 2. This theory has many practical applications. 3. I downloaded a new application on my phone. ,1. 我昨天提交了求職申請。 2. 這個理論有很多實際應用。 3. 我在手機上下載了一個新的應用程式。
implement,v./n. 實施；執行,中級,1. The company will implement the new policy next month. 2. We need to implement this plan immediately.,1. 公司將於下個月實施新政策。 2. 我們需要立即執行這項計劃。
measure,n./v. 測量；衡量；措施；尺寸,初級,1. We measured the length of the table. 2. It is hard to measure success. 3. The government introduced new safety measures. 4. The tailor took my measurements.,1. 我們測量了桌子的長度。 2. 成功很難衡量。 3. 政府推出了新的安全措施。 4. 裁縫師為我量了尺寸。
warranty,n. 保固；保證；保固書,初級,1. The phone comes with a one-year warranty. 2. There is no warranty that the plan will succeed.,1. 該手機享有一年保固。 2. 該計劃不保證一定成功。
agricultural,adj. 農業的；農用的 ,中級,1. The country has a strong agricultural industry. 2. Agricultural land is used for growing crops.,1. 該國農業產業發達。 2. 農業用地用於種植農作物。
purpose,n. 目的；意圖；用途,初級,1. What is the purpose of this meeting? 2. This tool serves a useful purpose.,1. 本次會議的目的是什麼？ 2. 這個工具很有用。
merge,v. 合併；融合；並入,初級,1. The two companies will merge next year. 2. The colors merge into one another.,1. 這兩家公司將於明年合併。 2. 這些顏色相互融合。
fund-raiser,n. 募款活動,初級,The school held a fund-raiser for charity.,學校舉辦了一場慈善募款活動。
postpone,v. 延期；推遲；延後,初級,The meeting was postponed until next week.,會議延後到下週舉行。
waterfront,n. 海濱；河岸；水邊地區,初級,The hotel is located on the waterfront.,飯店位於海濱。
document,n. 文件、證件、文檔 v. 記錄、紀錄,初級,1. Please bring your identification documents. 2. The researcher documented the results carefully.,1. 請攜帶您的身分證件。 2. 研究人員已仔細記錄了結果。
